GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.experimental,JenaRDFParser,98,104,14,6,15,20,12,5,2,5
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena,ConversionException,16,0,0,0,8,0,4,0,4,0
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena,JenaRDF.new StreamRDFBase() {...},17,0,0,0,3,0,2,0,2,0
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena,JenaRDF.new StreamRDFBase() {...},17,0,0,0,3,0,2,0,2,0
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena,JenaRDF.new InternalJenaFactory() {...},0,3,0,0,0,1,0,1,0,1
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena,JenaRDF.new StreamRDFBase() {...},17,0,0,0,3,0,2,0,2,0
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena,JenaRDF,322,196,28,16,62,49,33,29,16,24
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,JenaBlankNodeImpl,16,45,3,5,3,12,3,5,0,4
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,JenaIRIImpl,14,41,2,6,2,14,2,7,0,5
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,JenaLiteralImpl,17,90,7,11,3,18,7,9,0,7
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,JenaLiteralImpl.new InternalJenaFactory() {...},0,3,0,0,0,1,0,1,0,1
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,JenaQuadImpl,40,72,8,14,4,10,9,6,1,3
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,JenaDatasetImpl,30,263,0,4,8,43,4,21,4,19
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,InternalJenaFactory,71,120,6,6,10,24,10,18,6,16
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,AbstractJenaRDFTerm,0,16,0,0,0,6,0,4,0,4
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,JenaGeneralizedQuadLikeImpl,12,0,0,0,4,0,2,0,2,0
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,JenaGeneralizedTripleLikeImpl,11,0,0,0,4,0,2,0,2,0
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,AbstractQuadLike.new InternalJenaFactory() {...},0,3,0,0,0,1,0,1,0,1
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,JenaTripleImpl,19,77,7,11,4,12,7,6,0,4
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,JenaGraphImpl,61,161,4,4,17,31,6,16,4,14
Commons RDF: Integration: Apache Jena,org.apache.commons.rdf.jena.impl,AbstractQuadLike,33,191,0,4,2,39,1,13,1,11
