GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava.experimental,JsonLdParser,182,128,24,12,27,27,18,9,2,7
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdUnionGraphImpl,77,0,0,0,19,0,11,0,11,0
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,AbstractJsonLdGraphLike,42,288,4,20,8,49,6,26,3,17
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdQuadLikeImpl,3,49,0,0,1,10,1,6,1,6
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdBlankNodeImpl,27,44,1,3,2,11,2,6,1,5
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdDatasetImpl,9,137,0,4,4,21,2,15,2,13
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdLiteralImpl,43,123,11,7,6,24,7,9,0,7
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdGraphImpl,7,142,0,0,3,23,1,13,1,13
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdQuadImpl,28,44,2,10,3,7,3,6,1,2
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdTermImpl,0,12,0,0,0,5,0,3,0,3
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdIRIImpl,12,51,1,3,1,12,1,7,0,6
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdRDF,146,279,12,20,21,49,13,27,5,19
Commons RDF: Integration: JSON-LD Java,org.apache.commons.rdf.jsonldjava,JsonLdTripleImpl,2,54,3,5,1,7,3,4,0,3
