GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple.experimental,RDFParseException,31,0,0,0,13,0,5,0,5,0
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple.experimental,AbstractRDFParser,133,396,14,36,29,98,21,49,8,37
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,DatasetGraphView,72,66,2,2,19,14,9,7,7,7
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,DatasetImpl,91,303,17,31,13,60,13,31,1,19
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,SimpleRDFTermFactory,50,0,0,0,10,0,9,0,9,0
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,Types,4,429,1,5,1,99,2,10,1,8
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,QuadImpl,2,145,2,8,1,18,2,13,0,10
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,LiteralImpl,30,191,8,12,4,42,8,12,1,9
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,TripleImpl,2,97,3,5,1,15,3,8,0,7
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,SimpleRDF,0,70,0,0,0,13,0,11,0,11
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,GraphImpl,78,234,11,23,11,51,8,25,0,16
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,BlankNodeImpl,8,101,3,11,3,24,3,12,1,7
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,IRIImpl,0,52,0,6,0,14,0,9,0,6
