GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple.experimental,RDFParseException,31,0,0,0,13,0,5,0,5,0
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple.experimental,AbstractRDFParser,133,396,14,36,29,98,21,49,8,37
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,DatasetGraphView,138,0,4,0,33,0,16,0,14,0
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,DatasetImpl,389,0,46,0,71,0,43,0,20,0
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,SimpleRDFTermFactory,50,0,0,0,10,0,9,0,9,0
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,Types,4,429,1,5,1,99,2,10,1,8
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,QuadImpl,103,44,10,0,8,11,9,6,4,6
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,LiteralImpl,52,169,13,7,8,38,9,11,1,9
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,TripleImpl,2,97,3,5,1,15,3,8,0,7
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,SimpleRDF,5,65,0,0,1,12,1,10,1,10
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,GraphImpl,78,234,11,23,11,51,8,25,0,16
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,BlankNodeImpl,10,99,4,10,4,23,4,11,1,7
Commons RDF: Simple Implementation,org.apache.commons.rdf.simple,IRIImpl,3,49,1,5,1,13,2,7,1,5
